iter	MAE
0	2.829818366
1	2.794035192
2	2.726625511
3	2.685551424
4	2.642787566
5	2.601407787
6	2.553293359
7	2.514374043
8	2.485684477
9	2.457892068
10	2.425858469
11	2.401415949
12	2.386864915
13	2.35561546
14	2.332288228
15	2.309622789
16	2.28508846
17	2.269860629
18	2.255295272
19	2.231645387
20	2.210018315
21	2.187265345
22	2.165596972
23	2.157618894
24	2.142985038
25	2.12767542
26	2.110058807
27	2.101036122
28	2.092193727
29	2.083504043
30	2.06886674
31	2.060328864
32	2.047710124
33	2.036341563
34	2.024155438
35	2.007089615
36	1.999865863
37	1.986884027
38	1.970581113
39	1.959898288
40	1.949031722
41	1.94125085
42	1.928808367
43	1.922611191
44	1.914824812
45	1.90807799
46	1.899105207
47	1.88963106
48	1.879584251
49	1.868552729
50	1.84610186
51	1.840084692
52	1.832054872
53	1.823158915
54	1.816064915
55	1.80429357
56	1.793863791
57	1.782726583
58	1.771253348
59	1.765810962
60	1.758435127
61	1.750966183
62	1.735267954
63	1.731457241
64	1.723995622
65	1.718190548
66	1.705955332
67	1.698762647
68	1.685063516
69	1.674418819
70	1.6641866
71	1.653828318
72	1.650624549
73	1.644980635
74	1.635730203
75	1.622237164
76	1.614673313
77	1.604139283
78	1.598687525
79	1.592727015
80	1.5767158
81	1.560852856
82	1.556054616
83	1.550575358
84	1.54693074
85	1.543144563
86	1.533800269
87	1.519180588
88	1.515474482
89	1.510176401
90	1.503066562
91	1.499534865
92	1.496143315
93	1.492325752
94	1.486883061
95	1.482797133
96	1.474835047
97	1.472371293
98	1.467304207
99	1.464140968
