iter	Passed	Remaining
0	1	178
1	3	167
2	5	162
3	7	173
4	8	168
5	10	163
6	12	159
7	13	156
8	15	153
9	16	150
10	18	148
11	19	146
12	21	143
13	23	141
14	24	139
15	26	137
16	27	135
17	29	133
18	30	131
19	32	130
20	34	128
21	35	126
22	37	124
23	38	123
24	40	121
25	41	119
26	43	117
27	45	116
28	46	114
29	48	112
30	49	111
31	51	109
32	53	107
33	54	106
34	56	104
35	57	102
36	59	101
37	60	99
38	62	97
39	64	96
40	65	94
41	67	92
42	68	91
43	70	89
44	71	87
45	73	86
46	75	84
47	76	83
48	78	81
49	79	79
50	81	78
51	82	76
52	84	74
53	86	73
54	87	71
55	89	70
56	90	68
57	92	66
58	94	65
59	95	63
60	97	62
61	98	60
62	100	58
63	101	57
64	103	55
65	105	54
66	106	52
67	108	50
68	109	49
69	111	47
70	113	46
71	114	44
72	116	42
73	117	41
74	119	39
75	120	38
76	122	36
77	124	35
78	125	33
79	127	31
80	128	30
81	130	28
82	132	27
83	133	25
84	135	23
85	136	22
86	138	20
87	140	19
88	141	17
89	143	15
90	144	14
91	146	12
92	147	11
93	149	9
94	151	7
95	152	6
96	154	4
97	155	3
98	157	1
99	159	0
