Drug_ID,Drug,Y,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,qed
Terbutylchlorambucil,CC(C)(C)OC(=O)CCCc1ccc(N(CCCl)CCCl)cc1,1,2.458834471614553,462.905083873753,17.294682450997076,14.278787667510478,15.79064555954739,10.852685169664095,8.031431235536765,9.100476203186464,6.471456179320208,7.227385125338664,3.2767284299878363,3.6147901318792424,2.276861130093487,2.684937702906069,5.601050810983688,4.794537184071822,0.0,5.969305287951849,18.180828512866686,31.618542332360732,5.563451491696996,0.0,20.771211599071872,29.16537800469692,27.938742734265084,359.141884464,1.0869565217391304,1.6521739130434783,2.130434782608696,0.6111111111111112,-0.9299999999999999,23.0,333.10900000000004,79428.7448714238,20.11531037607612,10.04313306942461,8.474206944686983,149.45214194577363,11.682267749519735,0.4599478444235159,11.682267749519735,0.3058126544757872,0.13470350189866753,0.3058126544757872,-0.40969098783565605,-0.4599478444235159,4.635000000000004,98.87800000000006,360.32500000000005,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,5.0,0.0,9.0,0.0,0.0,0.0,130.0,9.636772684650527,5.601050810983688,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,23.20187978046503,12.13273413692322,51.3090404735441,36.9577275993754,0.0,1.0,9.53140013787187,34.858571343100444,0.0,0.0,0.0,45.634727278833594,29.749429432616306,29.828919765543436,0.0,0.0,4.899909730850478,5.687386274683562,0.0,23.20187978046503,36.41987580070137,15.95222176079788,0.0,39.17630633662088,24.26546827384644,0.0,0.0,0.0,29.54,5.309429372106763,11.657051081851742,13.853375682375052,0.0,1.9340107772035917,1.0211074628916514,8.364671280549256,2.106658516742241,7.2259180485019225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4748208495574166
40730,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,1,2.004088915400979,963.2881482992597,18.585057479767894,14.659148439902266,14.659148439902266,12.379917853109722,8.590996602544717,8.590996602544717,6.966959135208313,6.966959135208313,5.19184167056234,5.19184167056234,3.6887701657350496,3.6887701657350496,17.215316520898284,19.086016810659167,0.0,23.598398499822668,30.043111637408877,19.15587988028676,6.196843571613076,4.567099647791355,18.871318913218293,4.899909730850478,4.736862953800049,361.14378433999997,1.3076923076923077,2.0,2.6538461538461537,0.4444444444444444,-2.61,26.0,341.2130000000001,825393.7397774052,16.8368029259421,5.979774542196717,2.4384574228435856,148.73152976640844,14.983653155706726,0.48691699060409394,14.983653155706726,0.34072313809849797,0.04335879104728346,0.34072313809849797,-1.3153294094140058,-0.48691699060409394,1.5439999999999998,95.04130000000004,361.37300000000005,1.0,7.0,0.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,8.0,0.0,2.0,0.0,1.0,1.0,138.0,24.210309458133064,17.857719730893475,11.5667326743298,5.428790391900541,0.0,5.969305287951849,4.794537184071822,9.184952231746642,0.0,0.0,0.0,20.037776250829424,32.37586919526338,16.944765761229018,4.0,19.028342580387395,22.559616494716465,0.0,9.467009378641833,0.0,12.965578028838586,44.73348930169089,33.86721054878994,0.0,5.749511833283905,15.065563076551069,10.077801322358383,5.749511833283905,0.0,60.376421632274784,0.0,5.817220841045895,23.3235667046074,17.05774782414651,0.0,10.902924932081056,0.0,75.00999999999999,22.556683437263793,0.0,28.085371659380563,9.363410540086191,-0.22381680128433334,-1.5426565069196736,0.9940744415049967,1.342611961451247,5.075710339627637,2.0152775955562405,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8747398264671755
cloxacillin,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,1,1.5979754118001421,1036.6019885542453,21.085057479767894,15.8022985961558,17.37472412310198,13.630734840239553,8.880481722541315,10.138099006805437,7.491492011293958,9.669577277407122,5.180293646419485,7.081412462307007,3.8354617747405273,5.686095011792634,39.98824167113708,19.490138947056174,0.0,11.257379486545457,16.346332224312764,0.0,16.66179468024159,45.03667987291831,0.0,10.473451861131776,16.124034827205865,435.0655693559999,1.3448275862068966,2.0344827586206895,2.689655172413793,0.3684210526315789,-2.52,29.0,417.7450000000002,2912873.7018842073,19.78162067422846,6.773308085557597,2.9954915958817363,175.10646187164693,12.995622795414462,0.479672802365529,12.995622795414462,0.32739938471432256,0.19573307718149047,0.32739938471432256,-1.0564710346849038,-0.479672802365529,2.5487200000000003,106.66800000000003,435.8890000000002,2.0,8.0,0.0,2.0,2.0,1.0,1.0,2.0,6.0,2.0,10.0,0.0,4.0,0.0,2.0,2.0,152.0,19.846320666670863,34.47518137668456,0.0,5.907179729351506,5.907179729351506,5.969305287951849,9.589074368143644,4.794537184071822,0.0,11.761884949391115,34.95670435274279,26.83757866753348,10.310473944914555,5.022633313741326,4.0,24.013233884029518,41.14648958627849,0.0,15.373361591982254,0.0,42.975788523554094,0.0,40.6118004981592,0.0,11.257379486545457,5.316788604006331,0.0,0.0,23.36282483962363,55.151342053953705,9.589074368143644,6.923737199690624,29.965710494024506,28.788563210819788,5.022633313741326,11.257379486545457,0.0,112.74,4.541556435437658,7.590725474850457,38.56028248279976,16.16571345056101,1.0263729348169748,-1.695413467882461,5.179594711320867,0.0,5.158945755873516,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7092649200190689
cefoperazone,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,1,1.3149886827209931,1562.591958886522,31.706013344398016,23.367894473470646,25.000887635326098,21.010146808445512,13.27076828298252,15.305121632616663,9.84276823074382,11.890259377185505,7.196478414204155,9.632983790878328,4.864559873263209,7.199481553646899,53.0866931889606,38.98027789411234,0.0,41.60522266335546,22.174207148653025,4.899909730850478,57.37095083862433,13.971409182367815,0.0,26.159029207623437,0.0,645.1424008240001,1.1363636363636365,1.8636363636363635,2.5,0.4,-4.65,44.0,618.4640000000002,5274769017.989464,30.796209802192134,12.527239969114575,5.786628970610092,257.51684098080267,13.560167779801167,0.5079666200063164,13.560167779801167,0.3521585022062475,0.08230332674975749,0.3521585022062475,-1.4239823801629001,-0.5079666200063164,-1.1119999999999965,152.5529999999998,645.6800000000003,4.0,17.0,0.0,3.0,3.0,1.0,1.0,2.0,13.0,4.0,19.0,0.0,9.0,0.0,2.0,2.0,232.0,25.74654172854455,28.9041056176044,0.0,11.063616211172214,5.907179729351506,23.81477925899293,28.97796819798824,14.270877303288827,0.0,16.860566757692155,23.894619086314336,40.61979754968984,38.18764841390849,0.0,5.0,38.98027789411234,59.15290861647818,0.0,45.54056133532005,7.04767198267719,29.537728152775998,31.139976431231304,41.09906360866854,0.0,5.749511833283905,10.633577208012662,4.794537184071822,5.749511833283905,23.52376989878223,123.30486770803277,31.0203579030363,0.0,18.52902952053558,40.69204859879225,0.0,0.0,0.0,220.25999999999996,1.4374736157410648,2.486164774453064,80.13246326549655,35.64253364382253,0.5364822566735072,-4.261013692316941,1.8401577231498365,0.0,2.042543842673422,1.6431945703069608,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,6.0,5.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.14453824042940433
rolitetracycline,CN(C)[C@@H]1C(=O)/C(=C(/O)NCN2CCCC2)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,1,1.648478190107212,1292.9870763029267,27.73132184970986,21.561982342148337,21.561982342148337,17.828164150201975,12.733816582333159,12.733816582333159,11.08525170370981,11.08525170370981,8.655043442697888,8.655043442697888,6.686938991347491,6.686938991347491,69.21796296897038,39.91624852641899,0.0,29.965927628503046,0.0,25.93115605767717,30.02274813592593,14.09534396535438,4.899909730850478,5.316788604006331,0.0,527.2267650159998,1.105263157894737,1.763157894736842,2.3947368421052633,0.5185185185185185,-3.25,38.0,494.3100000000004,259083035.89410758,26.360822060353797,8.907093425605536,3.526929805233393,219.21792142846647,14.011312608797727,0.5071758794651704,14.011312608797727,0.21125959059278485,0.15876203668362843,0.21125959059278485,-2.7923806768077606,-0.5071758794651704,0.3132000000000024,134.73369999999997,527.5740000000002,6.0,11.0,3.0,1.0,4.0,1.0,0.0,1.0,11.0,6.0,11.0,0.0,4.0,2.0,1.0,3.0,204.0,30.84942557820986,17.08178123500935,17.267395411991366,11.566489892729878,0.0,0.0,24.18343101391642,0.0,0.0,0.0,12.13273413692322,65.00087740580679,17.408916622392056,23.875034320727785,5.0,39.91624852641899,23.108899710750993,0.0,15.116608065707286,11.835812092322787,43.43014451958399,33.85354796607867,46.3553129035601,0.0,5.749511833283905,5.316788604006331,0.0,5.749511833283905,0.0,98.17863088120966,19.984662363199156,11.835812092322787,37.31310505186264,35.22840992016611,0.0,5.759164871656176,0.0,170.86999999999998,0.0,0.0,44.86919481498309,58.55069870926702,-5.647566870455334,-7.273229966666302,3.109052136730986,1.7726074307031026,3.1653410308213488,3.120569381282765,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13782918946983724
ondansetron,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,1,1.7679612527097788,871.7199680624578,15.267220234572113,12.912661304850763,12.912661304850763,10.664703797946451,7.747799185881738,7.747799185881738,6.124526496679106,6.124526496679106,4.915714830643346,4.915714830643346,3.6681988749261443,3.6681988749261443,0.0,4.794537184071822,0.0,11.701150992526333,0.0,41.67718057354257,5.693927994848461,6.196843571613076,25.25331490822692,33.29858393613033,0.0,293.152812228,1.3181818181818181,2.1363636363636362,2.909090909090909,0.3333333333333333,-2.36,22.0,274.21799999999996,209851.39677626584,13.313138633270487,4.833784702035854,1.8316089521630117,128.93835940075277,13.034514361300076,0.34691747198915435,13.034514361300076,0.16967730777761764,0.0474130763416476,0.16967730777761764,0.0474130763416476,-0.34691747198915435,3.1285200000000017,86.02450000000005,293.37000000000006,0.0,4.0,1.0,0.0,1.0,1.0,2.0,3.0,4.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,112.0,9.13419929558271,5.824404497999927,5.783244946364939,0.0,0.0,0.0,4.794537184071822,4.9839785209472085,0.0,0.0,18.19910120538483,25.831747514004253,54.06432599660383,0.0,4.0,4.794537184071822,16.686169878445995,0.0,14.118177816529919,12.965578028838582,26.31013685145522,0.0,53.74093940161798,0.0,0.0,0.0,0.0,0.0,0.0,19.901422762894857,20.013250011515776,12.841643245852017,28.297142791543212,36.65915541707259,0.0,10.902924932081056,0.0,39.82,4.263832042076089,0.0,17.287575267378656,1.094493575207861,3.27521557697153,1.2998822121441174,8.205336911381735,5.630447898295121,2.7122768382044176,2.0642730116738055,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7280085381147323
Amiloride,NC(N)=NC(=O)c1nc(Cl)c(N)nc1N,1,3.2110725546147147,439.35170474223344,11.585421958697399,7.437254626731468,8.193183572749922,6.913591357920933,3.6394477066156714,4.017412179624898,2.47532587988936,2.833338967339677,1.3380687410267638,1.616208537090463,0.7691436025298147,0.895916740739092,11.866734298095341,4.794537184071822,0.0,22.48276336741131,0.0,0.0,0.0,0.0,0.0,14.960361774530085,34.535609798881254,229.04788555599998,1.2,1.8,2.3333333333333335,0.0,-2.09,15.0,221.567,1562.7421450468037,10.98745933384973,3.964406732215082,2.43654431920468,89.32025691101963,11.309989921894683,0.38165341498690863,11.309989921894683,0.3021525290478107,0.07368827160493785,0.3021525290478107,-0.8315740740740745,-0.38165341498690863,-1.2919999999999998,56.00709999999998,229.63099999999997,8.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,4.0,9.0,0.0,1.0,0.0,0.0,0.0,80.0,22.93466990864874,0.0,28.442317936155142,0.0,0.0,5.907179729351506,4.794537184071822,9.967957041894417,4.992404732635669,0.0,11.600939890232516,0.0,0.0,0.0,1.0,4.794537184071822,35.10339974399791,0.0,9.967957041894417,16.459739686960038,0.0,11.46733495432437,10.847037811741252,0.0,0.0,22.93466990864874,11.635725555670057,0.0,11.600939890232516,21.834691339989757,0.0,0.0,10.488465178920283,4.992404732635669,5.153109816892792,0.0,0.0,159.29,0.0,5.549068720080624,21.74185185185185,-0.14042328042328012,20.46212852733686,-1.501514707734945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34409154985497703
M2L-663581,CN1Cc2c(-c3noc(C(C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O,0,1.8736814532767723,1041.8758243127527,19.344570503761737,14.54857086156826,15.304499807586716,12.830535685248813,8.115849718874161,8.493814191883388,6.560153916632939,6.967354043373545,4.471547759052782,4.786518153227137,2.93781163271536,3.188196664983064,12.207932775496605,15.007591973753232,0.0,24.167064555289915,27.661327069818807,0.0,11.823646930541102,36.14119291061792,0.0,15.124620299019863,16.124034827205865,389.08908167199996,1.4074074074074074,2.185185185185185,2.925925925925926,0.29411764705882354,-2.7499999999999996,27.0,373.67100000000016,1716251.2323850442,17.65324888477401,6.153337899695947,2.7093313011080467,158.36626398629164,12.743228418140035,0.39282605352045513,12.743228418140035,0.2605810167352318,0.12199305030654184,0.2605810167352318,-1.6579180042974233,-0.39282605352045513,1.3610999999999995,94.32010000000002,389.7990000000001,2.0,9.0,0.0,1.0,1.0,1.0,2.0,3.0,8.0,2.0,10.0,0.0,3.0,0.0,0.0,0.0,140.0,19.636059457505237,12.021248069613002,5.601050810983688,5.824404497999927,11.797903651377414,0.0,9.361636831863176,4.9839785209472085,4.9839785209472085,0.0,22.82397021581957,19.056471336613843,7.04767198267719,35.11903744539584,4.0,19.530686910726583,17.508119619584022,0.0,24.591629677661693,0.0,19.069544416586886,13.654553947190108,46.69715800246206,0.0,17.20571876753195,0.0,0.0,0.0,11.600939890232516,54.36641814388472,12.145807216896262,0.0,28.866377792333807,29.04951621712272,5.022633313741326,17.20571876753195,0.0,117.50999999999999,6.842992541152263,6.262280704383231,22.800791664374742,23.569943279064862,0.41812635877864146,-0.1765607352904417,5.205317878661167,1.5619920792391029,1.0428059938264669,1.6667546802544098,0.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6939427442397786
alovudine,Cc1cn([C@H]2C[C@H](F)[C@@H](CO)O2)c(=O)[nH]c1=O,1,2.335396041923274,523.7725622707216,12.576985790260121,9.220751174532332,9.220751174532332,8.024075805453151,5.250856384071763,5.250856384071763,4.042113720790041,4.042113720790041,2.7981602333790816,2.7981602333790816,1.8235677828902828,1.8235677828902828,36.35943521176186,13.979489415818463,0.0,6.4208216229260096,5.563451491696996,4.567099647791355,6.196843571613076,6.923737199690624,0.0,4.9839785209472085,9.843390348640755,244.085935116,1.6470588235294117,2.3529411764705883,2.9411764705882355,0.6,-1.47,17.0,231.11799999999997,7965.508655134308,11.999329445189208,4.420446218504293,2.1557561300505412,95.66085068555239,13.36334766313933,0.39355861895008165,13.36334766313933,0.32996016897829905,0.017244897959183714,0.32996016897829905,-1.3156164965986392,-0.39355861895008165,-0.53708,56.568500000000014,244.22199999999998,2.0,6.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,2.0,7.0,0.0,2.0,0.0,1.0,1.0,94.0,9.843390348640755,18.503542953993467,0.0,0.0,5.559266895052008,5.689743398203474,14.345615352810384,9.184952231746642,0.0,0.0,0.0,6.923737199690624,18.18111668623608,6.606881964512918,2.0,14.233805396315574,0.0,0.0,9.551078168738563,0.0,31.8481017766101,6.606881964512918,32.5983797247092,0.0,0.0,11.24901029325548,4.39041504767482,0.0,0.0,33.54012931135079,4.736862953800049,6.923737199690624,18.212174285357875,15.785917939756718,0.0,0.0,0.0,84.32,19.701733906525572,0.0,24.809888747165534,8.858932481943395,-0.7711110848660441,0.0,0.0,-1.705527210884354,1.106083160115898,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.731622172408428
18,ClCCl,1,1.6329931618554523,2.7548875021634682,2.7071067811865475,1.463035727205002,2.974893619241911,1.4142135623730951,0.5345224838248487,1.6035674514745462,0.10101525445522105,0.9091372900969896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33918526701467,0.0,0.0,0.0,0.0,0.0,0.0,23.20187978046503,83.953355424,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,0.58,3.0,82.917,2.7548875021634682,3.5799999999999996,2.58,2.580000000000001,29.3457834815929,4.763888888888888,0.10913232990050524,4.763888888888888,0.09670639037649198,0.19444444444444464,0.09670639037649198,0.19444444444444464,-0.10913232990050524,1.4215,16.573,84.93299999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.20187978046503,0.0,0.0,0.0,5.33918526701467,0.0,0.0,23.20187978046503,0.0,0.0,0.0,0.0,5.33918526701467,0.0,0.0,0.0,0.0,0.0,0.0,23.20187978046503,5.33918526701467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.527777777777777,0.0,0.19444444444444464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3899621067041533
